id,nazev,diagnoza,ERN,prevalence,orphakod,mesto,kraj,rok_vzniku_org,rok_vzniku_clenstvi
org_046,"Společnost Parkinson, z.s.",familiární parkinsonská demence,ERN-RND,,,100 00 Praha 10,Praha,1994.0,
org_047,"Společnost pro mukopolysacharidosu, z.s.",dědičná metabolická onemocnění,METAB-ERN,,,772 00 Olomouc,Olomoucký,1994.0,
org_048,Spolek Anca Vaskulitida - pacientská podpora ČR,Vaskulitida asociovaná s protilátkami proti cytoplazmě neutrofilů,ERN-RITA,1-5/10000,ORPHA:156152,130 00 Praha 3,Praha,2025.0,2025.0
org_049,Spolek Ichtyóza,genetické onemocnění kůže Ichtyóza,ERN-SKIN,neznámá,ORPHA:79354,262 11  Rosovice,Středočeský,2016.0,
org_050,Spolek pro Atypické parkinsonské syndromy (APS). z.s.,"atypické parkinsonské syndromy, multisystémová atrofie, progresivní supranukleární obrna",ERN-RND,,,120 00 Praha 2,Praha,2018.0,
org_051,"Spolek pro podporu lidí s Rubinstein-Taybi syndromem, z. s",Rubinsteinův-Taybiho syndrom,doplnit,1-9 / 100 000,ORPHA:783,667 01  Židlochovice,Jihomoravský,2020.0,2021.0
org_052,"Tarlovova cysta, z.s.",Perineurální cysta,ERN-RND,neznámá,ORPHA:65250,517 54 Vamberk,Královéhradecký,2019.0,
org_053,"TAY SACHS, z.s.",Tay-Sachsova nemoc,ERN-RND,neznámá,ORPHA:845,196 00 Praha 9,Praha,2025.0,2025.0
org_054,Úsměv srdcem z.s.,Moebiův syndrom,,1 - 9/100 000,ORPHA:570,180 00 Praha 8,Praha,2025.0,2026.0
org_055,VHL komunita z.s.,Von Hippelova - Lindauova choroba,"ERN-PeadCan, Genturis, Endo- ERN, EUROCAN, ITHACA",1-9 / 100 000,ORPHA:892,252 16 Nučice,Středočeský,2025.0,2025.0
org_056,"Willík - spolek pro Williamsův syndrom, z.s.",Weaverův-Wiliamsův syndrom,ERN-ITHACA,<1 / 1 000 000,ORPHA:3448,180 00 Praha 8,Praha,2006.0,
org_057,"Život bez střeva, z.s.","CIPO, HSCR (?MSCR), NEC, FAP ",ERNICA - nemáme zastoupení ani pacienti nejsou zapojeni,,,155 00  Praha 5 - Řepořyje,Praha,2008.0,
